"scientificName","catalogNumber","institutionCode","year","month","day","decimalLongitude","decimalLatitude"
"Podocarpus nubigenus Lindl.","189950711","iNaturalist",2023,11,3,-73.531547,-47.798122
"Podocarpus nubigenus Lindl.","146368862","iNaturalist",2023,1,11,-73.030019,-41.413038
"Podocarpus nubigenus Lindl.","193495123","iNaturalist",2023,11,30,-72.585167,-41.433042
"Podocarpus nubigenus Lindl.","192464570","iNaturalist",2023,11,27,-73.20337,-47.723167
"Podocarpus nubigenus Lindl.","198397495","iNaturalist",2024,1,13,-72.493315,-43.391742
"Podocarpus nubigenus Lindl.","153044884","iNaturalist",2023,2,7,-72.641845,-41.346787
"Podocarpus nubigenus Lindl.","196794511","iNaturalist",2024,1,15,-72.467339,-41.962039
"Podocarpus nubigenus Lindl.","197328963","iNaturalist",2024,1,21,-72.485909,-43.01136
"Podocarpus nubigenus Lindl.","41460578","iNaturalist",2020,2,20,-72.591082,-41.594224
"Podocarpus nubigenus Lindl.","146235431","iNaturalist",2023,1,9,-72.599249,-41.596917
"Podocarpus nubigenus Lindl.","149190417","iNaturalist",2023,2,19,-72.262606,-40.925283
"Podocarpus nubigenus Lindl.","192569841","iNaturalist",2023,11,29,-73.532819,-47.796298
"Podocarpus nubigenus Lindl.","148042888","iNaturalist",2023,2,4,-73.031042,-41.411572
"Podocarpus nubigenus Lindl.","152995177","iNaturalist",2023,1,7,-73.667552,-42.735963
"Podocarpus nubigenus Lindl.","148861456","iNaturalist",2023,1,28,-72.608472,-41.510817
"Podocarpus nubigenus Lindl.","146368010","iNaturalist",2023,1,11,-73.030981,-41.413053
"Podocarpus nubigenus Lindl.","149368341","iNaturalist",2023,2,21,-74.027833,-42.054855
"Podocarpus nubigenus Lindl.","150532593","iNaturalist",2023,3,1,-72.4404,-44.607819
"Podocarpus nubigenus Lindl.","10325174","iNaturalist",2018,3,8,-73.517604,-47.792209
"Podocarpus nubigenus Lindl.","138571816","iNaturalist",2022,10,8,-73.308898,-39.692902
"Podocarpus nubigenus Lindl.","138571826","iNaturalist",2022,10,8,-73.31426,-39.694154
"Podocarpus nubigenus Lindl.","198397612","iNaturalist",2024,1,15,-72.585002,-42.678048
"Podocarpus nubigenus Lindl.","198397432","iNaturalist",2024,1,13,-72.506362,-43.393791
"Podocarpus nubigenus Lindl.","198293703","iNaturalist",2024,1,30,-74.101608,-42.618375
"Podocarpus nubigenus Lindl.","198397467","iNaturalist",2024,1,13,-72.525588,-43.395733
"Podocarpus nubigenus Lindl.","198397556","iNaturalist",2024,1,14,-72.537773,-44.457528
"Podocarpus nubigenus Lindl.","196714876","iNaturalist",2023,12,27,-72.763402,-46.358804
"Podocarpus nubigenus Lindl.","55221939","iNaturalist",2020,8,2,-73.623803,-41.753455
"Podocarpus nubigenus Lindl.","195963815","iNaturalist",2024,1,6,-73.306837,-39.696241
"Podocarpus nubigenus Lindl.","193796526","iNaturalist",2023,12,8,-72.580667,-42.655256
"Podocarpus nubigenus Lindl.","193316182","iNaturalist",2023,12,2,-73.905944,-41.917753
"Podocarpus nubigenus Lindl.","192464666","iNaturalist",2023,11,27,-73.532813,-47.796303
"Podocarpus nubigenus Lindl.","189904617","iNaturalist",2023,11,3,-73.031075,-41.411797
"Podocarpus nubigenus Lindl.","188458170","iNaturalist",2023,10,20,-73.531323,-47.796803
"Podocarpus nubigenus Lindl.","145205854","iNaturalist",2022,12,27,-74.096314,-42.621728
"Podocarpus nubigenus Lindl.","186349825","iNaturalist",2023,10,3,-73.823841,-43.031199
"Podocarpus nubigenus Lindl.","185994797","iNaturalist",2023,10,1,-73.561628,-39.950983
"Podocarpus nubigenus Lindl.","165427831","iNaturalist",2023,5,23,-73.030669,-41.412942
"Podocarpus nubigenus Lindl.","185469073","iNaturalist",2023,9,29,-73.340248,-39.69811
"Podocarpus nubigenus Lindl.","E01080999","RBGE",2022,2,20,-72.37248,-42.511503
"Podocarpus nubigenus Lindl.","183986910","iNaturalist",2023,9,18,-73.970178,-42.770358
"Podocarpus nubigenus Lindl.","174601725","iNaturalist",2023,7,23,-73.033706,-41.410311
"Podocarpus nubigenus Lindl.","165219478","iNaturalist",2023,6,2,-72.42601,-43.275752
"Podocarpus nubigenus Lindl.","167274801","iNaturalist",2023,6,11,-72.164061,-40.674592
"Podocarpus nubigenus Lindl.","167224346","iNaturalist",2023,6,11,-72.162856,-40.67558
"Podocarpus nubigenus Lindl.","20151144","iNaturalist",2014,10,17,-72.15048,-40.62491
"Podocarpus nubigenus Lindl.","20150059","iNaturalist",2014,10,13,-74.10249,-42.61804
"Podocarpus nubigenus Lindl.","20141676","iNaturalist",2014,10,12,-73.66535,-41.88377
"Podocarpus nubigenus Lindl.","20150050","iNaturalist",2014,10,13,-74.10422,-42.61893
"Podocarpus nubigenus Lindl.","20151077","iNaturalist",2014,10,17,-72.14828,-40.62222
"Podocarpus nubigenus Lindl.","20150107","iNaturalist",2014,10,13,-74.10157,-42.61741
"Podocarpus nubigenus Lindl.","20150120","iNaturalist",2014,10,13,-74.10363,-42.61661
"Podocarpus nubigenus Lindl.","159244124","iNaturalist",2023,4,26,-72.942952,-43.84755
"Podocarpus nubigenus Lindl.","159246033","iNaturalist",2023,4,27,-72.944557,-43.849412
"Podocarpus nubigenus Lindl.","141504761","iNaturalist",2022,10,18,-72.637622,-41.39183
"Podocarpus nubigenus Lindl.","124342153","iNaturalist",2022,6,30,-72.814784,-41.478165
"Podocarpus nubigenus Lindl.","153271185","iNaturalist",2023,4,2,-73.447579,-40.19682
"Podocarpus nubigenus Lindl.","139840410","iNaturalist",2022,10,14,-72.105163,-41.421688
"Podocarpus nubigenus Lindl.","151152707","iNaturalist",2023,3,14,-73.553939,-39.951328
"Podocarpus nubigenus Lindl.","150055635","iNaturalist",2023,3,2,-72.899392,-39.959302
"Podocarpus nubigenus Lindl.","148492260","iNaturalist",2023,1,24,-73.646291,-40.004309
"Podocarpus nubigenus Lindl.","148711221","iNaturalist",2023,2,12,-72.591775,-42.659142
"Podocarpus nubigenus Lindl.","148050264","iNaturalist",2023,2,4,-73.03038,-41.412392
"Podocarpus nubigenus Lindl.","146369662","iNaturalist",2023,1,11,-73.029976,-41.413296
"Podocarpus nubigenus Lindl.","147285808","iNaturalist",2017,2,14,-73.601717,-42.18507
"Podocarpus nubigenus Lindl.","142308984","iNaturalist",2022,11,12,-73.301492,-39.698303
"Podocarpus nubigenus Lindl.","141813360","iNaturalist",2022,10,10,-72.384289,-42.486852
"Podocarpus nubigenus Lindl.","","",2021,8,9,-73.722806,-41.525349
"Podocarpus nubigenus Lindl.","","",2021,9,13,-72.740562,-41.531292
"Podocarpus nubigenus Lindl.","","",2022,1,9,-73.617771,-42.446747
"Podocarpus nubigenus Lindl.","139326733","iNaturalist",2022,4,8,-72.387613,-42.480639
"Podocarpus nubigenus Lindl.","101328164","MO",2013,12,9,-72.405,-42.359167
"Podocarpus nubigenus Lindl.","138054994","iNaturalist",2022,10,8,-73.309594,-39.70289
"Podocarpus nubigenus Lindl.","137036725","iNaturalist",2015,5,8,-73.828894,-41.868393
"Podocarpus nubigenus Lindl.","120467755","iNaturalist",2022,6,5,-72.091478,-39.33988
"Podocarpus nubigenus Lindl.","111931407","iNaturalist",2022,4,15,-73.658005,-40.47584
"Podocarpus nubigenus Lindl.","108771054","iNaturalist",2022,3,16,-71.716057,-39.153389
